500	-1.2113287774119086
1000	-10.740013709922616
1500	-16.17553714691776
2000	-20.499129748525643
2500	-23.147166736696892
3000	-24.820860444118882
3500	-26.234752472433005
4000	-27.458981425615395
4500	-28.553031429787602
5000	-29.563892955256332
5500	-30.70323453540357
6000	-31.754421351490027
6500	-32.47615299073615
7000	-33.010831939255034
7500	-33.44213733041946
8000	-33.81781194435039
8500	-34.173984701784505
9000	-34.52395793326125
9500	-34.87104346194947
10000	-35.21358677220922
10500	-35.544982040417736
11000	-35.86251818245743
11500	-36.16702452392148
12000	-36.46076943862599
12500	-36.74700845767668
13000	-37.024513281190956
13500	-37.291575742469156
14000	-37.55088714206945
14500	-37.80481690226324
15000	-38.055290168877576
15500	-38.30564821235644
16000	-38.552444960669625
16500	-38.791292639945404
17000	-39.02954700988646
17500	-39.27034806512406
18000	-39.50632967615894
18500	-39.73634322584608
19000	-39.95945561635876
19500	-40.1718350481752
20000	-40.377945728685695
20500	-40.57889207632879
21000	-40.769006870251424
21500	-40.94789794242811
22000	-41.12057022584338
22500	-41.28956995838897
23000	-41.45247010262106
23500	-41.60616483238965
24000	-41.75170215031094
24500	-41.89244988547884
25000	-42.02952028076486
25500	-42.16136778417369
26000	-42.28752300113796
26500	-42.40941478997265
27000	-42.52810224155847
27500	-42.64331997981289
28000	-42.75545338899762
28500	-42.86536721072579
29000	-42.973148204454084
29500	-43.07791916240807
